X,Y
-2.3468194,4.35621
6.658581,1.1149648
-4.380295,13.495425
-0.43031356,8.115215
2.3863027,8.844343
0.009845449,11.727016
-2.3081176,9.225601
0.822447,-6.0455637
3.8178535,-6.8160224
6.3583436,10.031023
4.2843585,-2.1853626
0.70846874,11.0615425
-3.0344157,10.868639
1.5778404,-4.5767846
14.401942,6.316716
15.903292,6.7387767
19.766104,12.557706
3.198249,-4.5839624
4.400497,-3.9712188
0.7053074,-4.4194145
0.92888165,-6.4358916
4.9111805,-3.7637775
-1.5192193,13.349519
5.72795,-1.9670877
13.057749,5.7484283
-7.5820975,7.921993
8.962539,5.279009
0.71882516,-5.773299
-7.612929,9.943146
0.939314,8.833076
6.5882273,6.933582
4.286823,-3.7293906
-2.0636342,6.3656545
-4.576253,11.196205
19.55133,9.125792
-5.8003654,12.203627
-1.2204623,8.164181
-3.2896016,6.221489
2.724588,-3.3693738
2.413563,6.20663
10.156828,7.5931206
2.2386684,9.726377
7.0603485,4.1161757
16.69599,7.6385536
-2.2950819,7.1012344
-3.8253076,8.871173
14.535676,8.299461
12.633381,7.4764276
7.7250185,4.691511
3.0854306,8.103415
-6.888212,10.20667
2.074073,5.5087147
2.0245047,-4.1928163
13.866869,5.929135
6.370482,8.964793
9.179919,5.9690022
0.5058792,7.4172387
13.669008,7.371182
-3.8669975,6.5810494
9.985208,4.4887357
11.306132,7.695119
11.885763,6.5252566
-1.2257386,9.273306
12.339646,6.4824433
9.431378,9.633255
5.6490765,9.744532
2.5416083,-4.8391204
13.556202,5.582013
2.225142,-7.191102
13.299852,6.178153
3.3684444,-4.716772
-0.6280094,8.87588
1.5318873,-4.204473
0.36723262,9.405349
6.0773892,-1.378085
18.081833,8.166106
12.279651,7.4371705
10.829795,9.403218
3.5403163,8.414767
12.264326,8.34795
5.3308663,6.4027576
-1.0090412,5.010892
16.7572,8.404611
5.4896393,6.968959
-5.344345,13.192336
8.279879,5.1216908
-2.3266475,12.59114
15.842907,8.171293
-4.9904833,6.130955
5.0197754,-5.632116
9.094384,5.447823
-4.007098,10.521742
11.351132,6.2105355
6.4295278,-0.34704447
9.285268,8.186522
6.6555796,8.931074
-5.014578,8.30012
19.609818,10.301398
2.7779124,-5.791037
20.907612,12.829148
1.6942495,5.6393824
6.2033863,5.7033305
6.186328,-0.8422377
0.7365831,-4.6184473
6.515507,9.976236
-4.3530827,14.329425
-4.9688888,13.77222
-1.5375683,9.81944
7.769076,7.7453895
0.53220546,-4.8720293
1.143128,7.0361633
3.082972,-6.4898043
7.152585,2.487045
7.819776,6.131507
2.347321,-5.2265477
2.6290505,9.663279
0.8539964,-5.234225
-1.3472015,10.074257
2.9123814,-2.7797108
6.011987,4.1014476
6.131143,0.19928814
-4.5917277,11.666273
3.2582345,-4.878363
-4.453604,10.375179
0.0018201342,9.861712
-7.8006086,8.903762
